,1000000.0,630957.3,398107.2,251188.6,158489.3,100000.0,63095.73,39810.72,25118.86,15848.93,10000.0,6309.573,3981.072,2511.886,1584.893,1000.0,630.9573,398.1072,251.1886,158.4893,100.0,63.09574,39.81071,25.11886,15.84893,10.0,6.309574,3.981072,2.511887,1.584893,1.0
Soil_1_IDE_1-1,67.21529,111.0136,203.2913,391.5354,774.1827,1400.515,2424.378,3559.745,4661.824,5777.928,7138.067,9035.348,11726.82,15179.06,19052.04,22659.41,25634.35,27962.46,30133.08,31684.32,33018.29,34099.19,35283.28,36498.4,37763.2,39388.76,41494.09,44550.48,48294.25,50863.26,53088.06
Soil_1_IDE_1-2,63.27948,104.4609,190.1821,365.4597,724.9792,1312.965,2298.1,3373.046,4419.326,5481.782,6807.842,8780.83,11839.85,16270.08,21703.94,27013.09,31107.81,33702.89,34635.3,35320.87,35829.83,38863.84,41771.21,43807.85,44480.13,45414.26,46198.33,49973.67,53885.04,56619.22,58811.2
Soil_1_IDE_1-3,65.91792,111.3718,205.9003,398.5521,780.8285,1367.608,2266.622,3160.539,4004.529,4895.265,6076.928,7912.976,10858.27,15264.88,20891.3,26782.02,31861.73,35642.85,38369.25,40253.32,41728.66,42860.17,43771.4,44641.91,45622.4,46933.21,48808.13,52070.35,56111.34,58731.16,60319.24
Soil_1_IDE_1-4,66.95431,113.8658,211.4104,409.6277,797.7824,1379.129,2245.261,3085.274,3880.678,4737.161,5898.45,7726.996,10681.63,15124.81,20825.37,26798.96,31965.99,35826.77,38605.52,40553.46,41952.74,43074.38,43985.99,44861.32,45755.03,47039.28,48893.16,52182.95,56494.54,59131.3,60446.84
Soil_1_IDE_1-5,67.77402,115.8149,215.7723,418.3525,810.8507,1386.776,2226.967,3026.253,3782.092,4610.706,5754.562,7572.855,10528.42,14998.32,20740.68,26790.83,32052.5,35986.38,38739.68,40639.21,42014.98,43052.83,44019.63,44856.14,45708.71,47004.96,48802.75,52214.87,56523.83,58578.07,59902.51
Soil_1_IDE_2-1,106.5123,184.5851,331.2143,592.7441,1014.219,1593.454,2238.605,2818.273,3264.898,3593.763,3853.769,4088.287,4323.957,4580.616,4870.576,5205.787,5583.612,5983.141,6383.644,6761.592,7103.849,7410.113,7695.05,7967.745,8241.996,8522.172,8802.818,9099.048,9408.134,9692.116,9953.095
Soil_1_IDE_2-2,106.7594,184.5959,330.6566,591.8022,1014.521,1593.13,2239.669,2824.524,3276.503,3609.445,3872.082,4106.628,4341.534,4597.402,4884.251,5210.427,5573.126,5958.051,6342.352,6703.922,7042.02,7351.745,7645.304,7930.042,8217.579,8510.103,8808.559,9112.403,9434.308,9722.402,9989.831
Soil_1_IDE_2-3,106.5747,184.4542,330.5024,591.3865,1014.033,1592.225,2238.393,2822.624,3274.824,3610.148,3874.799,4111.464,4345.458,4599.026,4884.155,5209.756,5566.556,5943.241,6320.182,6677.988,7011.531,7317.083,7607.497,7891.936,8180.577,8477.465,8779.163,9099.579,9416.739,9709.609,9969.279
Soil_1_IDE_2-4,106.6361,184.4076,330.2783,590.9671,1013.155,1591.243,2239.118,2827.582,3285.674,3624.511,3891.612,4129.004,4365.384,4619.314,4902.818,5226.036,5582.566,5954.944,6328.231,6684.383,7016.06,7323.072,7614.181,7900.403,8194.632,8499.225,8805.654,9124.531,9445.268,9735.954,10010.79
Soil_1_IDE_2-5,106.4762,184.0816,329.6216,589.6251,1011.536,1590.605,2241.57,2834.452,3295.709,3636.32,3904.792,4143.73,4378.077,4630.615,4911.812,5230.354,5582.177,5946.408,6318.951,6674.501,7002.127,7308.551,7598.779,7885.768,8182.068,8483.965,8797.004,9117.216,9438.789,9727.11,9997.833
Soil_1_IDE_3-1,54.63467,76.78181,119.5991,198.589,361.2365,638.8428,1316.223,2750.182,5531.001,10060.63,15779.62,21308.6,25681.64,28900.81,31402.31,33549.34,35528.82,37292.43,38971.88,40284.91,41389.86,42442.43,43438.43,44331.49,45359.79,46644.4,48455.05,51264.43,54157.18,56230.93,57993.13
