;1000000,0;630957,3;398107,2;251188,6;158489,3;100000,0;63095,73;39810,72;25118,86;15848,93;10000,0;6309,573;3981,072;2511,886;1584,893;1000,0;630,9573;398,1072;251,1886;158,4893;100,0;63,09574;39,81071;25,11886;15,84893;10,0;6,309574;3,981072;2,511887;1,584893;1,0;1000000,0;630957,3;398107,2;251188,6;158489,3;100000,0;63095,73;39810,72;25118,86;15848,93;10000,0;6309,573;3981,072;2511,886;1584,893;1000,0;630,9573;398,1072;251,1886;158,4893;100,0;63,09574;39,81071;25,11886;15,84893;10,0;6,309574;3,981072;2,511887;1,584893;1,0;1000000,0;630957,3;398107,2;251188,6;158489,3;100000,0;63095,73;39810,72;25118,86;15848,93;10000,0;6309,573;3981,072;2511,886;1584,893;1000,0;630,9573;398,1072;251,1886;158,4893;100,0;63,09574;39,81071;25,11886;15,84893;10,0;6,309574;3,981072;2,511887;1,584893;1,0;1000000,0;630957,3;398107,2;251188,6;158489,3;100000,0;63095,73;39810,72;25118,86;15848,93;10000,0;6309,573;3981,072;2511,886;1584,893;1000,0;630,9573;398,1072;251,1886;158,4893;100,0;63,09574;39,81071;25,11886;15,84893;10,0;6,309574;3,981072;2,511887;1,584893;1,0
terra897 0;392,6033;625,0612;971,2438;1512,717;2342,249;3576,08;5506,271;8321,281;12093,81;16382,56;20229,25;22924,56;24516,08;25372,38;25858,5;26157,8;26375,31;26572,07;26766,08;27005,3;27308,99;27721,56;28185,75;28900,84;29830,59;31032,29;32773,33;35696,55;39045,42;41000,29;42990,11;369,1929;566,9344;845,4373;1241,433;1783,361;2491,622;3341,189;4218,067;4959,814;5480,032;5806,799;6008,776;6139,391;6237,086;6316,46;6385,364;6454,257;6524,917;6601,161;6686,726;6790,591;6913,078;7066,508;7257,836;7480,784;7721,305;7980,381;8279,394;8600,845;8901,627;9194,009;390,5334;618,1126;962,164;1495,862;2312,95;3523,078;5398,422;8085,641;11578,89;15383,7;18674,1;20941,83;22241,96;22989,94;23391,24;23652,15;23871,7;24036,42;24278,59;24521,29;24820,1;25193,81;25647,38;26258,77;27073,87;28078,48;29465,73;32048,07;35085,96;36815,08;38319,83;425,7031;667,9617;1041,716;1616,12;2495,308;3790,674;5760,263;8484,04;11810,0;15101,71;17637,49;19199,42;20063,49;20590,34;20937,75;21204,05;21418,34;21644,36;21908,14;22213,49;22581,68;23017,61;23604,27;24344,89;25281,43;26474,4;27987,05;30262,52;33020,03;35259,79;37031,1;
terra897 1;392,6449;625,136;971,3928;1513,135;2342,972;3578,208;5512,427;8337,934;12142,43;16498,09;20424,88;23162,49;24757,77;25602,34;26066,56;26343,01;26537,6;26720,0;26942,79;27168,96;27484,49;27798,03;28318,14;29009,81;29873,58;31015,55;32789,81;35759,54;38975,09;41193,98;43077,29;369,7858;567,9435;847,1888;1243,686;1786,288;2495,118;3346,055;4223,479;4964,159;5482,998;5807,559;6009,625;6142,775;6237,211;6313,509;6383,147;6449,212;6517,036;6588,419;6674,199;6778,268;6904,467;7058,892;7251,454;7474,45;7712,978;7972,267;8269,104;8598,688;8908,428;9199,108;390,5606;618,0562;962,0396;1495,729;2312,254;3520,608;5391,592;8067,438;11535,41;15297,74;18528,31;20730,31;22013,22;22740,2;23122,45;23367,5;23568,6;23740,41;23947,26;24155,8;24435,02;24767,39;25227,81;25842,65;26679,64;27691,62;29166,53;31777,0;34617,89;36266,99;37662,32;425,7979;667,8955;1041,599;1616,138;2495,752;3791,982;5768,0;8508,658;11863,5;15185,13;17734,99;19315,39;20238,62;20761,2;21054,41;21279,51;21475,15;21655,39;21860,41;22138,34;22507,6;22931,86;23517,09;24282,36;25234,92;26368,2;27807,18;30045,16;32877,6;34886,41;36774,54;
terra897 2;392,6526;625,1333;971,3223;1512,975;2341,661;3571,583;5510,062;8333,703;12128,61;16462,41;20366,7;23073,94;24636,06;25462,74;25891,03;26161,03;26368,7;26540,02;26761,83;26991,65;27292,61;27698,67;28155,15;28817,24;29694,29;30827,56;32606,29;35630,73;38918,22;40910,79;42893,11;369,9208;567,9078;847,1432;1243,758;1786,518;2495,345;3345,915;4222,548;4962,338;5481,128;5806,7;6005,034;6135,763;6229,209;6305,458;6371,973;6436,145;6503,451;6577,54;6663,599;6766,442;6890,619;7047,493;7239,94;7460,225;7701,433;7963,372;8265,042;8592,82;8901,131;9188,058;390,5005;617,9824;961,8896;1495,344;2311,641;3519,6;5390,63;8065,58;11521,58;15237,63;18396,86;20543,48;21781,03;22461,97;22827,8;23060,41;23232,75;23377,51;23509,81;23755,32;24057,42;24468,03;24942,21;25579,16;26383,04;27352,75;28831,25;31404,43;34161,07;35677,47;37545,2;425,6967;667,7807;1041,595;1616,048;2495,127;3791,499;5766,558;8502,789;11849,14;15169,73;17730,69;19313,11;20188,99;20643,9;20920,74;21115,56;21297,43;21488,5;21693,43;22027,32;22421,36;22879,22;23463,89;24175,33;25065,16;26162,5;27626,38;29917,66;32661,61;34648,43;36639,81;
terra897 3;392,6382;625,0635;971,313;1513,02;2342,752;3577,792;5510,908;8333,794;12129,24;16456,47;20344,91;23049,29;24605,45;25437,18;25895,88;26183,85;26392,21;26580,54;26789,17;27025,89;27305,04;27644,37;28094,25;28767,73;29653,4;30796,16;32540,92;35527,02;39083,38;41683,37;43564,43;369,855;567,8029;847,0484;1243,663;1786,446;2495,296;3345,858;4221,808;4962,453;5480,374;5807,06;6005,213;6133,741;6226,171;6301,929;6371,083;6436,419;6503,729;6582,183;6667,31;6769,757;6895,474;7045,133;7236,734;7461,231;7704,396;7964,24;8267,908;8596,923;8905,084;9187,873;390,6115;618,5182;963,1898;1497,988;2315,974;3525,33;5396,241;8062,525;11499,13;15196,65;18347,93;20477,86;21728,82;22394,49;22761,27;22988,48;23170,16;23327,83;23569,2;23838,54;24157,36;24530,97;24977,57;25585,02;26361,5;27339,54;28857,44;31462,05;34156,37;35976,79;37964,07;425,6871;667,7333;1041,496;1616,0;2495,16;3790,868;5766,084;8501,021;11845,68;15149,09;17668,68;19202,13;20050,44;20531,26;20815,37;21022,13;21213,68;21437,43;21730,03;22040,6;22386,77;22805,79;23363,73;24114,82;25022,54;26098,4;27515,46;29718,45;32496,87;34693,54;36691,8;
terra897 4;392,6454;625,0916;971,3474;1512,939;2342,641;3577,632;5510,42;8331,38;12122,51;16437,08;20314,43;23000,92;24551,82;25381,43;25840,62;26135,1;26362,24;26561,83;26744,16;26946,47;27252,53;27547,62;28042,7;28690,64;29523,6;30678,29;32338,84;35273,62;39050,62;41660,49;43463,26;369,8262;567,7913;846,9818;1243,529;1786,305;2494,574;3343,514;4218,152;4955,215;5469,665;5791,45;5985,372;6113,336;6205,864;6281,908;6350,375;6418,23;6487,726;6560,984;6643,777;6744,293;6864,748;7020,735;7215,341;7439,581;7680,231;7943,004;8244,066;8570,326;8889,552;9208,915;390,7061;618,1403;962,2031;1495,85;2312,866;3523,599;5395,031;8071,896;11532,44;15275,55;18469,29;20613,9;21878,73;22597,22;22986,39;23240,21;23439,47;23649,97;23916,3;24152,67;24439,1;24810,89;25240,01;25803,77;26576,99;27566,93;29116,5;31723,56;34709,85;36698,58;38699,59;425,7014;667,7759;1041,458;1615,841;2495,052;3790,894;5765,062;8496,911;11829,23;15110,56;17612,98;19141,23;19976,29;20468,51;20788,74;21020,94;21244,51;21444,34;21670,9;22001,39;22378,58;22802,46;23347,67;24055,14;24925,9;25972,36;27344,41;29427,34;32356,58;34666,73;36480,94;
terra898 0;391,193;622,4016;966,3036;1502,207;2315,481;3492,725;5250,817;7558,847;10117,17;12334,14;13820,18;14656,25;15102,89;15341,24;15486,6;15597,81;15696,69;15800,95;15922,69;16065,63;16235,38;16444,41;16809,92;17252,08;17882,3;18694,54;19962,42;22115,59;24454,53;25844,05;27379,75;367,02;562,7142;837,0615;1223,187;1740,724;2386,368;3104,003;3771,033;4280,139;4614,181;4819,793;4948,972;5037,697;5107,722;5168,69;5226,591;5288,764;5353,64;5429,369;5519,1;5627,609;5758,604;5927,299;6135,392;6383,601;6653,741;6951,244;7305,758;7693,093;8066,015;8437,177;389,1404;615,6658;957,1858;1484,255;2281,492;3421,503;5088,267;7194,242;9433,128;11274,2;12495,74;13197,04;13584,77;13799,63;13942,73;14052,18;14154,1;14263,41;14381,71;14529,67;14713,41;14941,45;15293,79;15731,18;16306,02;17023,98;18063,79;19868,87;21926,15;23157,46;24609,61;424,685;665,7322;1036,564;1602,912;2456,424;3662,58;5372,884;7415,666;9417,212;10888,37;11781,22;12263,5;12517,72;12670,52;12774,99;12870,97;12976,6;13107,7;13240,37;13424,24;13663,48;13943,08;14313,15;14766,1;15352,53;16066,55;17043,19;18675,96;20616,55;22167,23;23470,95;
terra898 1;391,1578;622,4371;966,3884;1502,59;2316,112;3494,419;5254,053;7564,346;10125,33;12339,94;13819,54;14649,68;15075,79;15304,73;15446,82;15549,44;15644,65;15752,58;15858,9;16004,81;16191,43;16393,27;16740,21;17190,71;17796,55;18596,41;19834,18;22012,37;24422,37;26092,63;27591,8;367,8377;563,7465;838,395;1224,417;1741,501;2387,821;3106,783;3775,776;4288,951;4625,561;4833,558;4962,854;5053,998;5123,551;5184,944;5242,507;5301,057;5365,352;5438,271;5525,669;5631,903;5766,859;5930,321;6138,131;6382,237;6653,422;6951,858;7307,87;7700,575;8081,267;8457,286;389,3911;615,9699;957,7349;1485,295;2283,392;3425,169;5096,691;7215,245;9459,738;11338,21;12585,7;13290,72;13667,45;13877,03;14010,38;14109,29;14198,14;14290,06;14384,59;14524,78;14702,5;14938,28;15246,46;15679,52;16243,93;16941,49;18022,65;19794,75;21703,23;23000,4;24399,75;424,8271;665,9599;1037,143;1604,078;2459,154;3668,316;5382,843;7433,426;9437,176;10915,17;11800,86;12273,58;12532,64;12689,07;12805,16;12910,53;13018,6;13150,15;13306,29;13480,8;13689,76;13938,34;14270,91;14692,24;15253,13;15950,24;16895,3;18476,22;20560,33;22256,67;23457,45;
terra898 2;391,101;622,4356;966,236;1502,512;2315,97;3494,259;5253,607;7564,449;10127,18;12343,53;13821,57;14646,98;15076,93;15307,32;15446,49;15544,46;15642,18;15748,72;15875,92;16011,7;16190,17;16427,69;16737,18;17169,87;17766,61;18572,03;19766,05;21908,36;24575,57;26206,9;27632,68;367,837;563,7625;838,318;1224,432;1741,62;2388,296;3107,573;3777,14;4289,697;4625,913;4832,875;4962,904;5052,416;5122,498;5176,417;5219,963;5272,349;5350,258;5437,563;5526,712;5632,803;5759,878;5929,554;6135,59;6382,418;6652,75;6950,495;7306,691;7696,567;8077,209;8453,662;389,4271;616,0613;957,7952;1485,362;2282,977;3422,769;5089,092;7191,069;9424,149;11251,01;12458,14;13143,35;13509,38;13708,71;13836,09;13931,34;14015,49;14106,03;14208,87;14340,21;14522,35;14773,71;15075,08;15513,54;16068,62;16759,91;17877,54;19635,63;21577,59;23020,9;24730,54;424,8589;665,999;1037,16;1604,174;2459,118;3667,302;5378,372;7423,322;9414,667;10879,34;11765,49;12238,81;12509,38;12673,47;12799,32;12909,2;13019,06;13141,49;13268,59;13423,67;13620,01;13877,8;14189,26;14608,61;15157,42;15861,0;16782,02;18336,13;20484,08;22056,02;23291,68;
terra898 3;391,1495;622,4221;966,4131;1502,564;2316,191;3494,34;5252,521;7558,28;10111,33;12311,46;13774,79;14598,58;15024,12;15248,65;15387,51;15500,67;15602,06;15701,1;15817,28;15953,0;16122,36;16350,41;16655,33;17089,87;17696,72;18501,06;19654,36;21798,17;24526,06;26307,02;27889,35;367,7824;563,7187;838,2727;1224,284;1741,457;2387,797;3106,49;3774,387;4285,667;4621,089;4826,512;4955,423;5046,011;5115,999;5175,332;5230,796;5289,951;5353,093;5429,121;5517,01;5623,041;5753,437;5918,546;6126,375;6373,4;6643,2;6943,36;7299,02;7694,714;8079,172;8442,627;389,4671;616,1064;957,8525;1485,393;2283,083;3423,247;5090,17;7193,646;9424,846;11249,66;12457,63;13144,49;13505,78;13708,98;13837,99;13938,42;14034,45;14143,3;14263,94;14416,12;14605,87;14844,22;15174,96;15600,02;16152,12;16856,14;17921,99;19684,59;21885,47;23527,99;24802,72;425,0206;666,4777;1038,668;1607,269;2463,731;3673,659;5385,149;7424,388;9409,045;10876,01;11760,2;12246,4;12518,1;12679,71;12797,92;12893,4;12985,26;13092,28;13197,1;13350,73;13543,8;13772,93;14111,13;14536,54;15087,77;15795,44;16737,1;18355,24;20367,28;21721,36;23006,6;
